HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Valencia Basket, Fenerbahce Dogus Istanbul,FT,67,13,24,8,31,17,23,13,21,34,16,5,11,0,2,15,25,79,80,21,35,11,24,5,8,7,22,29,21,8,9,2,0,25,15,91,7,20,23,17,,,33,18,29,-80,,,7,27,50,67,,,33,51,80,,,
Khimki Moscow Region, Real Madrid,FT,78,17,33,12,30,8,16,6,21,27,18,11,13,3,3,26,19,72,95,16,33,14,25,21,28,10,30,40,23,6,16,3,3,19,26,120,17,14,18,29,,,51,16,28,-95,,,17,31,49,78,,,51,67,95,,,
KIROLBET Baskonia Vitoria Gasteiz, Olympiacos Piraeus,FT,86,27,50,6,19,14,20,14,32,46,19,9,6,3,2,18,20,115,54,14,26,5,30,11,15,6,25,31,15,5,13,2,3,20,18,48,16,20,36,14,,,30,14,10,-54,,,16,36,72,86,,,30,44,54,,,
Zalgiris Kaunas, Unicaja Malaga,FT,79,26,45,5,17,12,15,13,23,36,19,7,11,3,4,20,16,91,77,15,33,12,28,11,13,10,21,31,26,5,12,4,3,17,19,94,17,15,20,27,,,40,15,22,-77,,,17,32,52,79,,,40,55,77,,,
Brose Bamberg, Zalgiris Kaunas,FT,93,21,40,9,22,24,32,13,18,31,20,5,7,1,3,20,30,110,86,24,43,8,19,14,14,11,19,30,17,3,12,3,1,31,20,85,21,16,27,29,,,44,17,25,-86,,,21,37,64,93,,,44,61,86,,,
Crvena Zvezda mts Belgrade, Khimki Moscow Region,FT,70,13,34,11,30,11,20,14,26,40,13,5,9,0,3,17,22,72,79,17,37,10,28,15,20,12,26,38,17,6,9,3,0,22,17,86,21,16,17,16,,,31,21,27,-79,,,21,37,54,70,,,31,52,79,,,
Olympiacos Piraeus, Maccabi FOX Tel Aviv,FT,94,23,46,9,26,21,26,15,33,48,26,4,9,2,5,22,23,116,64,18,46,5,18,13,22,14,25,39,11,4,14,5,2,24,22,55,24,29,17,24,,,40,11,13,-64,,,24,53,70,94,,,40,51,64,,,
Valencia Basket, FC Barcelona Lassa,FT,81,15,29,10,33,21,21,17,29,46,15,4,16,1,1,17,20,96,76,20,35,9,28,9,13,7,17,24,21,8,8,1,1,21,17,79,22,21,19,19,,,36,23,17,-76,,,22,43,62,81,,,36,59,76,,,
CSKA Moscow, Anadolu Efes Istanbul,FT,110,22,38,18,27,12,13,7,20,27,25,6,6,3,5,20,19,133,79,23,47,7,17,12,14,14,17,31,11,3,15,5,3,19,20,76,35,23,23,29,,,46,15,18,-79,,,35,58,81,110,,,46,61,79,,,
AX Armani Exchange Olimpia Milan, Unicaja Malaga,FT,101,19,33,15,24,18,23,5,21,26,23,7,12,0,1,18,22,120,87,26,47,8,18,11,14,11,19,30,21,7,13,1,0,22,18,95,31,19,29,22,,,44,27,16,-87,,,31,50,79,101,,,44,71,87,,,
Fenerbahce Dogus Istanbul, Panathinaikos Superfoods Athens,FT,67,21,43,5,19,10,14,12,26,38,15,2,7,2,4,15,19,77,62,13,27,9,28,9,13,7,25,32,13,4,11,4,2,19,15,61,18,17,12,20,,,30,20,12,-62,,,18,35,47,67,,,30,50,62,,,
Real Madrid, KIROLBET Baskonia Vitoria Gasteiz,FT,75,18,38,9,25,12,19,11,23,34,17,13,13,3,2,17,20,87,73,18,32,11,26,4,7,7,30,37,19,6,21,2,3,20,17,78,18,16,25,16,,,34,27,12,-73,,,18,34,59,75,,,34,61,73,,,
FC Barcelona Lassa, Brose Bamberg,FT,81,31,48,4,21,7,9,10,22,32,16,13,10,4,1,20,16,95,66,13,29,8,24,16,18,10,22,32,18,5,20,1,4,16,20,68,18,26,15,22,,,34,18,14,-66,,,18,44,59,81,,,34,52,66,,,
Khimki Moscow Region, Olympiacos Piraeus,FT,82,19,36,13,29,5,6,12,27,39,19,10,12,4,1,22,16,101,54,10,28,5,19,19,25,6,21,27,14,5,15,1,4,16,22,50,28,21,16,17,,,25,13,16,-54,,,28,49,65,82,,,25,38,54,,,
