HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Scavolini Pesaro, Maccabi Elite Tel Aviv,FT,97,19,42,12,25,23,30,11,21,32,18,19,11,1,2,25,26,112,95,21,33,11,25,20,27,7,27,34,6,11,18,2,1,26,25,95,22,25,28,22,,,47,19,29,-95,,,22,47,75,97,,,47,66,95,,,
Asvel Basket, AEK Athens,FT,69,20,47,8,18,5,9,9,23,32,14,1,7,3,2,20,17,66,73,28,49,1,11,14,17,8,28,36,21,3,8,2,3,17,20,93,19,16,17,17,,,38,19,16,-73,,,19,35,52,69,,,38,57,73,,,
Montepaschi Siena, Union Olimpija,FT,74,23,42,2,13,22,30,10,30,40,16,18,14,2,0,25,29,102,70,15,39,9,18,13,23,10,22,32,10,14,17,0,2,29,25,60,22,21,13,18,,,41,12,17,-70,,,22,43,56,74,,,41,53,70,,,
Zalgiris, FC Barcelona,FT,80,20,38,10,27,10,14,10,19,29,12,12,10,4,5,24,20,79,81,24,46,5,15,18,21,14,26,40,10,10,12,5,4,20,24,99,20,17,26,17,,,39,14,28,-81,,,20,37,63,80,,,39,53,81,,,
Opel Skyliners, Panathinaikos Athens,FT,68,18,35,6,19,14,21,9,27,36,11,7,15,2,2,18,26,78,66,19,31,7,25,7,11,6,20,26,13,9,13,2,2,26,18,59,19,21,5,23,,,34,18,14,-66,,,19,40,45,68,,,34,52,66,,,
Benetton Basket, Tau Ceramica Vitoria,FT,75,21,39,7,21,12,19,8,24,32,14,15,7,1,1,17,19,92,63,20,42,4,16,11,18,13,28,41,10,8,15,1,1,19,17,64,20,19,21,15,,,30,17,16,-63,,,20,39,60,75,,,30,47,63,,,
CSKA Moscow, Ulker,FT,90,30,50,5,12,15,17,9,19,28,15,19,12,7,4,16,17,115,77,17,33,12,20,7,12,6,20,26,12,12,19,4,7,17,16,75,25,20,25,20,,,42,18,17,-77,,,25,45,70,90,,,42,60,77,,,
Unicaja, Pau Orthez,FT,80,20,42,5,12,25,28,13,23,36,11,9,13,5,6,20,24,94,71,24,45,4,12,11,17,9,14,23,12,7,11,6,5,24,20,64,23,16,16,25,,,38,18,15,-71,,,23,39,55,80,,,38,56,71,,,
Olympiacos, Partizan,FT,100,22,33,10,17,26,34,3,23,26,17,7,15,1,1,22,28,115,74,14,31,9,23,19,23,5,19,24,12,5,16,1,1,28,23,59,26,25,28,21,,,26,21,27,-74,,,26,51,79,100,,,26,47,74,,,
Real Madrid, Efes Pilsen,FT,57,13,38,6,19,13,21,12,20,32,10,7,10,0,2,28,22,42,72,19,32,5,14,19,28,6,27,33,11,6,13,2,0,22,28,86,17,13,20,7,,,37,14,21,-72,,,17,30,50,57,,,37,51,72,,,
Prokom Trefl Sopot, Adecco Estudiantes,FT,78,17,32,10,26,14,20,14,20,34,12,10,17,4,1,21,21,83,74,20,40,6,16,16,25,11,19,30,16,8,17,1,4,21,21,69,17,18,25,18,,,35,14,25,-74,,,17,35,60,78,,,35,49,74,,,
Cibona VIP, Climamio Bologna,OT,89,18,43,10,25,23,29,12,26,38,10,7,10,2,6,25,25,84,96,26,37,8,30,20,26,8,31,39,18,12,9,6,2,25,25,121,16,22,22,21,8,,23,24,20,14,15,,16,38,60,81,89,,23,47,67,81,96,
Zalgiris, Scavolini Pesaro,OT,91,28,52,6,18,17,21,9,30,39,18,11,17,4,5,20,22,103,87,27,42,7,29,12,14,6,23,29,18,17,11,5,4,22,20,100,16,18,18,27,12,,27,12,19,21,8,,16,34,52,79,91,,27,39,58,79,87,
FC Barcelona, Montepaschi Siena,FT,58,16,42,2,13,20,26,14,23,37,7,7,10,1,1,18,25,63,70,23,48,5,14,9,11,11,27,38,12,7,10,1,1,25,18,74,16,8,17,17,,,32,18,20,-70,,,16,24,41,58,,,32,50,70,,,
Union Olimpija, Asvel Basket,FT,79,22,34,6,18,17,23,10,17,27,13,11,16,1,1,20,24,88,67,19,33,6,15,11,14,6,17,23,9,12,17,1,1,24,20,64,18,23,13,25,,,31,14,22,-67,,,18,41,54,79,,,31,45,67,,,
Maccabi Elite Tel Aviv, AEK Athens,FT,93,19,39,7,19,34,43,9,24,33,19,12,9,8,1,24,35,125,92,19,48,11,20,21,24,15,26,41,17,9,12,1,8,35,24,88,28,21,20,24,,,48,21,23,-92,,,28,49,69,93,,,48,69,92,,,
Unicaja, Opel Skyliners,FT,82,20,36,10,26,12,14,14,26,40,17,6,15,7,1,17,18,103,67,21,45,5,16,10,14,8,15,23,13,9,9,1,7,18,17,57,15,32,13,22,,,32,16,19,-67,,,15,47,60,82,,,32,48,67,,,
Pau Orthez, CSKA Moscow,FT,93,21,38,8,14,27,34,7,22,29,13,4,12,1,4,23,24,95,103,29,53,11,17,12,18,10,14,24,22,9,7,4,1,24,22,116,24,21,22,26,,,48,32,23,-103,,,24,45,67,93,,,48,80,103,,,
Ulker, Benetton Basket,FT,62,19,46,6,20,6,13,8,23,31,12,6,10,1,2,23,20,49,69,13,38,10,22,13,18,12,30,42,11,3,11,2,1,20,23,76,12,14,15,21,,,33,14,22,-69,,,12,26,41,62,,,33,47,69,,,
Tau Ceramica Vitoria Gasteiz, Panathinaikos Athens,FT,84,16,30,11,23,19,24,13,22,35,17,8,17,1,1,31,26,91,82,13,28,10,28,26,35,11,15,26,11,7,10,1,1,26,31,79,16,29,17,22,,,45,12,25,-82,,,16,45,62,84,,,45,57,82,,,
Cibona VIP, Partizan,FT,85,17,29,11,24,18,31,4,22,26,18,17,14,1,1,25,33,102,76,20,37,5,19,21,34,16,23,39,8,8,19,1,1,33,24,59,28,22,19,16,,,32,26,18,-76,,,28,50,69,85,,,32,58,76,,,
Climamio Bologna, Prokom Trefl Sopot,FT,71,18,34,7,27,14,21,13,30,43,10,14,15,5,4,18,19,82,63,17,36,5,31,14,17,14,21,35,10,12,14,4,5,19,18,56,15,19,15,22,,,35,16,12,-63,,,15,34,49,71,,,35,51,63,,,
Adecco Estudiantes, Real Madrid,FT,90,24,34,10,21,12,19,10,19,29,17,12,16,2,2,22,22,104,84,22,44,9,27,13,18,21,13,34,15,9,16,2,2,22,22,81,20,22,22,26,,,39,19,26,-84,,,20,42,64,90,,,39,58,84,,,
Efes Pilsen, Olympiacos,FT,80,23,42,4,15,22,29,10,27,37,15,9,8,4,3,20,28,105,54,11,27,8,27,8,8,3,23,26,8,5,14,3,4,28,20,35,21,25,16,18,,,27,9,18,-54,,,21,46,62,80,,,27,36,54,,,
AEK Athens, Scavolini Pesaro,FT,78,24,40,6,18,12,21,8,27,35,15,4,10,4,1,21,25,92,72,22,45,4,14,16,18,5,21,26,9,5,7,1,4,25,21,63,14,25,14,25,,,37,20,15,-72,,,14,39,53,78,,,37,57,72,,,
Maccabi Elite Tel Aviv, Union Olimpija,FT,95,32,47,4,14,19,25,7,29,36,18,9,9,3,0,19,21,123,82,14,25,12,32,18,25,7,21,28,11,9,9,0,3,21,19,78,19,22,24,30,,,43,17,22,-82,,,19,41,65,95,,,43,60,82,,,
Asvel Basket, FC Barcelona,FT,65,22,42,3,16,12,16,9,22,31,18,5,11,3,0,27,17,64,69,16,39,4,9,25,32,5,26,31,12,4,9,0,3,18,27,78,17,15,17,16,,,36,21,12,-69,,,17,32,49,65,,,36,57,69,,,
Montepaschi Siena, Zalgiris,OT,70,19,40,7,26,11,20,14,26,40,13,22,20,3,2,21,21,77,74,22,44,6,19,12,15,10,29,39,12,21,23,2,3,21,21,84,15,22,13,15,5,,18,17,20,10,9,,15,37,50,65,70,,18,35,55,65,74,
Tau Ceramica Vitoria Gasteiz, Opel Skyliners,FT,90,23,38,12,25,8,11,11,21,32,17,13,21,8,2,15,16,107,69,21,41,4,16,15,18,9,18,27,7,12,22,2,8,16,15,51,21,20,21,28,,,40,16,13,-69,,,21,41,62,90,,,40,56,69,,,
Panathinaikos Athens, Ulker,FT,79,17,29,8,24,21,24,7,18,25,7,9,18,2,2,30,26,67,72,14,27,5,17,29,42,6,21,27,10,11,16,2,2,27,30,69,16,23,21,19,,,34,16,22,-72,,,16,39,60,79,,,34,50,72,,,
Benetton Basket, Pau Orthez,FT,91,26,48,5,13,24,32,8,29,37,12,18,13,2,4,26,26,105,73,15,37,7,16,22,31,7,21,28,6,14,18,4,2,26,26,65,19,27,26,19,,,43,14,16,-73,,,19,46,72,91,,,43,57,73,,,
CSKA Moscow, Unicaja,FT,76,20,40,6,16,18,23,8,21,29,10,17,16,0,4,22,26,81,70,20,40,4,16,18,25,11,24,35,9,16,17,4,0,26,22,74,16,20,27,13,,,34,13,23,-70,,,16,36,63,76,,,34,47,70,,,
Partizan, Efes Pilsen,FT,49,10,34,7,21,8,10,4,18,22,7,14,17,2,3,24,18,28,74,12,34,12,24,14,19,8,22,30,13,18,13,3,2,18,24,90,18,13,9,9,,,32,28,14,-74,,,18,31,40,49,,,32,60,74,,,
Olympiacos, Adecco Estudiantes,FT,90,23,45,8,21,20,28,10,18,28,11,11,11,3,1,24,22,86,80,22,44,6,16,18,30,12,27,39,10,9,16,1,3,22,24,78,20,25,18,27,,,37,15,28,-80,,,20,45,63,90,,,37,52,80,,,
Real Madrid, Climamio Bologna,FT,79,19,43,9,27,14,19,18,16,34,13,9,10,2,6,18,21,77,81,23,31,7,24,14,17,10,21,31,14,8,16,6,2,21,18,91,15,16,21,27,,,39,28,14,-81,,,15,31,52,79,,,39,67,81,,,
Prokom Trefl Sopot, Cibona VIP,OT,83,23,32,6,24,19,31,7,31,38,17,13,18,5,2,26,25,96,78,18,44,9,20,15,29,11,23,34,12,9,15,2,5,25,26,65,22,18,12,14,17,,7,18,17,24,12,,22,40,52,66,83,,7,25,42,66,78,
Scavolini Pesaro, Montepaschi Siena,FT,83,22,39,8,18,15,22,6,20,26,12,17,8,1,4,25,20,88,69,15,29,6,20,21,30,10,25,35,4,8,16,4,1,20,25,71,25,21,21,16,,,36,12,21,-69,,,25,46,67,83,,,36,48,69,,,
Zalgiris, Asvel Basket,FT,86,28,44,2,13,24,32,11,30,41,15,11,10,3,1,18,25,117,72,19,46,9,23,7,12,10,18,28,15,10,11,1,3,25,18,59,23,20,21,22,,,38,15,19,-72,,,23,43,64,86,,,38,53,72,,,
FC Barcelona, Maccabi Elite Tel Aviv,FT,81,28,52,4,24,13,21,22,27,49,13,3,9,4,4,24,20,81,79,22,44,2,12,29,35,6,26,32,9,8,8,4,4,20,24,86,13,22,22,24,,,34,21,24,-79,,,13,35,57,81,,,34,55,79,,,
Union Olimpija, AEK Athens,FT,70,13,32,8,26,20,25,10,18,28,9,9,11,1,6,26,27,59,66,20,42,2,11,20,26,9,23,32,10,8,16,6,1,27,25,66,10,26,18,16,,,31,17,18,-66,,,10,36,54,70,,,31,48,66,,,
Opel Skyliners, CSKA Moscow,FT,88,22,43,11,22,11,14,8,12,20,18,7,12,0,0,29,16,73,103,24,35,10,22,25,30,8,25,33,15,7,16,0,0,17,29,126,18,29,18,23,,,52,24,27,-103,,,18,47,65,88,,,52,76,103,,,
Unicaja, Benetton Basket,FT,74,17,32,8,20,16,19,6,27,33,13,6,15,1,1,18,19,82,59,18,35,6,18,5,10,4,19,23,11,7,15,1,1,19,18,50,18,22,21,13,,,32,13,14,-59,,,18,40,61,74,,,32,45,59,,,
Pau Orthez, Panathinaikos Athens,FT,62,17,39,3,12,19,24,9,16,25,15,8,19,6,5,22,24,58,88,27,41,5,9,19,26,4,22,26,19,10,15,4,7,24,22,98,17,14,21,10,,,51,16,21,-88,,,17,31,52,62,,,51,67,88,,,
Ulker, Tau Ceramica Vitoria,FT,86,22,36,11,19,9,9,3,22,25,16,10,15,4,0,21,19,102,73,19,38,7,20,14,19,9,17,26,11,10,13,0,4,19,21,68,28,15,20,23,,,40,17,16,-73,,,28,43,63,86,,,40,57,73,,,
Maccabi Elite Tel Aviv, Ulker,FT,90,33,49,4,15,12,16,7,29,36,20,17,9,3,4,16,20,126,59,15,28,7,28,8,14,7,22,29,14,9,17,4,3,20,16,51,22,20,20,28,,,38,13,8,-59,,,22,42,62,90,,,38,51,59,,,
Montepaschi Siena, Cibona VIP,FT,90,25,42,8,18,16,24,10,26,36,20,18,10,4,0,22,24,125,62,20,39,4,18,10,19,12,21,33,11,10,19,0,4,24,22,49,21,24,22,23,,,28,17,17,-62,,,21,45,67,90,,,28,45,62,,,
FC Barcelona, CSKA Moscow,FT,70,24,56,4,14,10,12,13,21,34,7,3,11,2,3,21,18,55,91,27,46,7,21,16,21,12,27,39,21,9,9,3,2,18,21,117,14,23,12,21,,,35,28,28,-91,,,14,37,49,70,,,35,63,91,,,
Real Madrid, Scavolini Pesaro,FT,75,22,40,5,19,16,25,17,30,47,18,6,19,4,2,22,26,92,71,16,34,8,30,15,24,10,19,29,16,10,6,2,4,26,22,65,14,24,24,13,,,38,10,23,-71,,,14,38,62,75,,,38,48,71,,,
Tau Ceramica Vitoria Gasteiz, Climamio Bologna,FT,94,19,38,12,27,20,26,14,26,40,16,12,9,4,1,23,26,119,84,12,36,15,27,15,19,9,24,33,8,6,15,1,4,26,23,70,25,30,18,21,,,35,20,29,-84,,,25,55,73,94,,,35,55,84,,,
Zalgiris, Panathinaikos Athens,FT,73,20,35,6,20,15,19,9,22,31,16,12,16,3,3,23,24,84,84,21,35,9,25,15,21,9,20,29,15,16,12,3,3,24,23,95,20,22,7,24,,,41,13,30,-84,,,20,42,49,73,,,41,54,84,,,
AEK Athens, Benetton Basket,FT,83,22,31,9,21,12,17,4,23,27,17,5,10,2,1,21,18,94,75,18,33,9,15,12,16,1,17,18,6,4,10,1,2,18,21,70,24,19,13,27,,,42,15,18,-75,,,24,43,56,83,,,42,57,75,,,
Efes Pilsen, Prokom Trefl Sopot,FT,86,24,40,6,15,20,26,8,22,30,14,13,16,6,1,22,25,104,62,17,37,7,27,7,11,12,17,29,14,12,19,1,6,26,22,45,22,22,17,25,,,27,19,16,-62,,,22,44,61,86,,,27,46,62,,,
Ulker, Cibona VIP,FT,84,19,29,13,23,7,8,5,21,26,19,5,13,5,0,16,14,103,77,15,34,12,28,11,14,13,13,26,13,6,8,0,5,14,16,73,26,17,14,27,,,42,17,18,-77,,,26,43,57,84,,,42,59,77,,,
Maccabi Elite Tel Aviv, Montepaschi Siena,FT,85,28,51,3,17,20,26,9,31,40,19,9,7,5,3,26,26,105,84,18,40,9,23,21,24,6,31,37,14,7,9,3,5,26,26,92,22,24,19,20,,,45,19,20,-84,,,22,46,65,85,,,45,64,84,,,
CSKA Moscow, Scavolini Pesaro,FT,88,26,46,5,16,21,25,9,37,46,13,8,13,1,2,17,25,114,68,19,49,7,23,9,20,14,24,38,9,13,8,2,1,25,17,56,25,26,20,17,,,34,22,12,-68,,,25,51,71,88,,,34,56,68,,,
FC Barcelona, Real Madrid,FT,84,17,30,5,12,35,40,7,18,25,12,9,9,4,0,18,31,113,71,17,39,9,29,10,13,24,14,38,11,5,12,0,4,31,18,51,22,15,22,25,,,37,21,13,-71,,,22,37,59,84,,,37,58,71,,,
Climamio Bologna, Panathinaikos Athens,FT,77,17,36,10,29,13,20,17,16,33,10,8,12,1,1,31,26,66,73,15,21,5,16,28,36,7,21,28,9,8,18,1,1,26,31,80,16,18,17,26,,,40,17,16,-73,,,16,34,51,77,,,40,57,73,,,
Tau Ceramica Vitoria Gasteiz, Zalgiris,FT,100,27,44,9,20,19,24,10,26,36,28,13,13,3,1,21,23,135,69,20,47,5,18,14,19,13,18,31,12,6,15,1,3,23,21,54,37,18,25,20,,,38,13,18,-69,,,37,55,80,100,,,38,51,69,,,
Benetton Basket, Prokom Trefl Sopot,FT,89,22,38,8,20,21,25,5,24,29,14,20,12,3,1,18,26,118,75,17,34,10,24,11,16,9,24,33,14,13,20,1,3,26,18,69,23,20,24,22,,,36,27,12,-75,,,23,43,67,89,,,36,63,75,,,
AEK Athens, Efes Pilsen,FT,70,19,38,6,19,14,23,8,21,29,16,6,12,3,3,27,23,64,69,14,31,6,14,23,29,5,25,30,4,7,14,3,3,23,27,69,14,16,19,21,,,39,17,13,-69,,,14,30,49,70,,,39,56,69,,,
Montepaschi Siena, Ulker,FT,84,20,41,12,26,8,12,12,25,37,19,16,10,4,2,24,18,103,71,11,29,12,29,13,19,12,25,37,14,11,16,2,4,18,24,80,23,17,25,19,,,33,20,18,-71,,,23,40,65,84,,,33,53,71,,,
Cibona VIP, Maccabi Elite Tel Aviv,FT,74,16,32,6,23,24,34,5,21,26,12,4,13,2,4,26,24,56,91,20,33,10,22,21,29,6,28,34,22,9,11,4,2,26,26,114,29,21,15,9,,,46,23,22,-91,,,29,50,65,74,,,46,69,91,,,
Real Madrid, CSKA Moscow,OT,94,20,40,12,26,18,30,8,26,34,13,9,9,2,2,30,28,93,95,20,38,10,28,25,33,12,26,38,14,4,16,2,1,28,30,94,26,21,21,16,10,,21,30,16,17,11,,26,47,68,84,94,,21,51,67,84,95,
Scavolini Pesaro, FC Barcelona,FT,71,24,35,6,21,5,11,8,18,26,10,18,16,3,0,26,18,72,70,19,42,4,15,20,21,15,21,36,5,17,18,0,3,18,26,80,14,18,23,16,,,33,15,22,-70,,,14,32,55,71,,,33,48,70,,,
Zalgiris, Climamio Bologna,FT,81,24,48,5,14,18,22,14,17,31,14,11,15,1,4,18,24,88,82,28,48,5,13,11,16,9,20,29,13,15,11,4,1,24,18,92,25,11,28,17,,,46,23,13,-82,,,25,36,64,81,,,46,69,82,,,
Panathinaikos Athens, Tau Ceramica Vitoria,FT,93,22,35,8,19,25,30,6,20,26,16,4,8,1,1,23,30,109,81,22,39,6,17,19,22,8,21,29,17,7,16,1,1,30,23,80,20,21,26,26,,,51,14,16,-81,,,20,41,67,93,,,51,65,81,,,
Efes Pilsen, Benetton Basket,FT,52,13,39,6,18,8,14,8,28,36,7,10,12,1,4,23,21,44,43,13,31,2,20,11,19,10,24,34,9,9,18,4,1,21,22,37,20,14,11,7,,,28,2,13,-43,,,20,34,45,52,,,28,30,43,,,
Prokom Trefl Sopot, AEK Athens,FT,59,16,33,5,17,12,26,9,19,28,9,5,11,2,3,27,26,45,75,19,34,5,15,22,28,8,23,31,20,9,10,3,2,26,26,95,8,13,14,24,,,42,17,16,-75,,,8,21,35,59,,,42,59,75,,,
Ulker, Maccabi Elite Tel Aviv,FT,67,16,36,8,27,11,18,10,26,36,11,10,17,4,5,28,19,51,83,20,42,6,18,25,34,10,26,36,21,10,12,5,4,20,27,103,26,18,4,19,,,43,21,19,-83,,,26,44,48,67,,,43,64,83,,,
Cibona VIP, Montepaschi Siena,FT,78,19,42,8,15,16,21,8,28,36,16,6,14,4,4,24,24,87,73,15,37,9,27,16,21,13,22,35,17,10,11,4,4,24,24,79,25,14,22,17,,,33,18,22,-73,,,25,39,61,78,,,33,51,73,,,
CSKA Moscow, FC Barcelona,FT,68,18,43,5,22,17,24,14,19,33,9,13,7,3,1,23,24,70,79,23,42,4,12,21,25,10,30,40,7,7,13,1,3,24,23,86,23,12,13,20,,,37,24,18,-79,,,23,35,48,68,,,37,61,79,,,
Scavolini Pesaro, Real Madrid,OT,90,24,49,8,22,18,24,16,20,36,6,21,16,2,2,19,23,96,88,28,43,8,21,8,10,9,22,31,10,16,21,2,2,23,19,90,21,18,18,24,9,,17,26,18,20,7,,21,39,57,81,90,,17,43,61,81,88,
Climamio Bologna, Tau Ceramica Vitoria,FT,86,21,37,11,28,11,14,13,21,34,14,12,11,1,1,21,19,97,79,21,38,8,20,13,22,13,18,31,13,11,14,1,1,19,21,84,18,22,19,27,,,42,23,14,-79,,,18,40,59,86,,,42,65,79,,,
Panathinaikos Athens, Zalgiris,FT,83,17,36,10,19,19,28,8,17,25,15,9,16,5,8,22,25,79,78,18,33,8,21,18,22,11,24,35,12,3,20,8,5,25,22,76,21,23,20,19,,,35,22,21,-78,,,21,44,64,83,,,35,57,78,,,
Benetton Basket, AEK Athens,FT,85,16,34,12,22,17,22,10,22,32,10,17,11,5,3,18,25,109,65,17,37,7,17,10,14,8,22,30,8,11,16,3,5,25,18,55,20,17,24,24,,,28,20,17,-65,,,20,37,61,85,,,28,48,65,,,
Prokom Trefl Sopot, Efes Pilsen,FT,70,23,40,5,19,9,17,10,21,31,12,7,18,3,0,23,19,62,89,28,37,7,20,12,21,5,22,27,17,12,12,0,3,19,22,102,17,27,11,15,,,46,21,22,-89,,,17,44,55,70,,,46,67,89,,,
Ulker, Montepaschi Siena,FT,85,24,39,6,21,19,25,10,26,36,18,7,11,0,1,20,23,101,71,17,30,7,25,16,20,4,21,25,15,8,13,1,0,23,20,69,21,16,22,26,,,36,18,17,-71,,,21,37,59,85,,,36,54,71,,,
Maccabi Elite Tel Aviv, Cibona VIP,FT,83,23,47,5,10,22,27,12,23,35,19,19,19,5,0,23,26,111,75,24,46,4,15,15,19,12,18,30,12,19,19,0,5,26,23,72,16,28,15,24,,,35,22,18,-75,,,16,44,59,83,,,35,57,75,,,
CSKA Moscow, Real Madrid,FT,89,24,49,8,19,17,21,16,23,39,14,20,13,5,3,21,22,112,73,15,38,7,17,22,26,14,21,35,10,13,20,3,5,22,21,71,26,24,27,12,,,32,19,22,-73,,,26,50,77,89,,,32,51,73,,,
FC Barcelona, Scavolini Pesaro,FT,87,21,35,9,25,18,28,11,15,26,12,9,8,1,3,24,24,84,101,13,22,17,28,24,34,5,23,28,10,5,11,3,1,24,24,105,19,19,22,27,,,46,27,28,-101,,,19,38,60,87,,,46,73,101,,,
Climamio Bologna, Zalgiris,FT,87,28,46,7,19,10,13,8,33,41,18,17,20,3,6,24,17,100,74,18,41,6,25,20,28,11,23,34,5,15,18,6,3,17,24,70,22,26,18,21,,,36,15,23,-74,,,22,48,66,87,,,36,51,74,,,
Tau Ceramica Vitoria Gasteiz, Panathinaikos Athens,FT,86,21,37,5,14,29,31,7,22,29,14,5,10,0,3,23,28,99,69,12,27,9,19,18,24,7,15,22,10,7,10,3,0,28,23,65,21,24,19,22,,,28,18,23,-69,,,21,45,64,86,,,28,46,69,,,
Benetton Basket, Efes Pilsen,FT,70,14,31,9,20,15,18,5,32,37,10,12,15,2,0,22,24,87,59,23,45,1,18,10,17,11,24,35,9,15,11,0,2,24,22,57,19,21,8,22,,,29,16,14,-59,,,19,40,48,70,,,29,45,59,,,
AEK Athens, Prokom Trefl Sopot,FT,81,22,45,9,17,10,12,7,25,32,19,8,8,2,3,30,18,86,70,15,31,6,23,22,33,11,25,36,10,6,14,3,2,18,30,77,20,23,23,15,,,34,19,17,-70,,,20,43,66,81,,,34,53,70,,,
Cibona VIP, Ulker,FT,64,19,45,5,16,11,18,9,26,35,9,6,10,4,6,22,22,58,68,18,32,7,23,11,20,8,29,37,15,7,11,6,4,22,22,79,12,20,24,8,,,33,16,19,-68,,,12,32,56,64,,,33,49,68,,,
Montepaschi Siena, Maccabi Elite Tel Aviv,FT,68,19,45,3,19,21,33,22,29,51,8,16,21,4,3,26,30,73,81,24,51,6,12,15,28,8,26,34,16,20,16,3,4,30,26,84,19,14,14,21,,,40,23,18,-81,,,19,33,47,68,,,40,63,81,,,
Scavolini Pesaro, CSKA Moscow,FT,66,23,46,4,29,8,11,23,17,40,6,20,13,1,2,19,15,63,84,21,36,11,22,9,17,12,27,39,7,13,19,2,1,15,19,95,14,12,18,22,,,43,28,13,-84,,,14,26,44,66,,,43,71,84,,,
Real Madrid, FC Barcelona,FT,76,15,35,10,24,16,18,9,24,33,15,9,16,5,1,25,18,78,73,23,49,2,8,21,26,7,24,31,13,12,10,1,5,18,25,85,19,21,16,20,,,30,21,22,-73,,,19,40,56,76,,,30,51,73,,,
Panathinaikos Athens, Climamio Bologna,FT,78,16,33,8,23,22,33,12,20,32,10,9,8,2,4,19,30,87,55,15,22,6,23,7,12,6,25,31,10,3,17,4,2,30,19,44,21,17,17,23,,,26,16,13,-55,,,21,38,55,78,,,26,42,55,,,
Zalgiris, Tau Ceramica Vitoria,FT,82,31,48,3,12,11,14,10,28,38,19,9,16,8,2,25,19,103,86,25,54,4,17,24,31,16,16,32,19,16,9,2,8,19,25,95,24,23,13,22,,,44,20,22,-86,,,24,47,60,82,,,44,64,86,,,
Prokom Trefl Sopot, Benetton Basket,FT,51,14,29,6,23,5,9,10,18,28,11,5,18,0,3,16,13,35,85,30,52,5,16,10,11,12,22,34,14,14,7,3,0,13,16,112,11,10,9,21,,,40,25,20,-85,,,11,21,30,51,,,40,65,85,,,
Efes Pilsen, AEK Athens,FT,69,23,34,4,15,11,15,2,15,17,10,7,14,3,3,27,22,58,62,13,32,5,14,21,27,10,18,28,10,10,16,3,3,22,27,65,17,21,16,15,,,33,13,16,-62,,,17,38,54,69,,,33,46,62,,,
Maccabi Elite Tel Aviv, Scavolini Pesaro,FT,88,22,40,9,16,17,26,10,34,44,20,14,15,4,3,25,25,118,60,12,39,5,20,21,28,12,18,30,7,15,14,3,4,25,25,48,19,14,14,21,,,40,23,18,-81,,,19,33,47,68,,,40,63,81,,,
CSKA Moscow, Ulker,FT,88,23,39,7,17,21,29,9,25,34,15,12,13,2,5,18,28,109,74,23,39,7,21,7,13,8,20,28,13,13,12,5,2,28,18,73,20,29,14,25,,,34,20,20,-74,,,20,49,63,88,,,34,54,74,,,
Panathinaikos Athens, Efes Pilsen,OT,102,17,27,9,22,41,57,8,15,23,9,10,15,0,0,31,40,99,96,18,30,9,17,33,41,7,19,26,10,5,26,0,0,40,31,74,21,25,18,24,14,,21,25,17,25,8,,21,46,64,88,102,,21,46,63,88,96,
Benetton Basket, Tau Ceramica Vitoria,FT,59,13,26,9,28,6,16,3,16,19,8,12,16,2,2,17,19,42,98,32,46,6,17,16,16,9,35,44,20,16,11,2,2,19,17,140,19,19,14,7,,,27,22,30,19,,,19,38,52,59,,,27,49,79,98,,
Scavolini Pesaro, Maccabi Elite Tel Aviv,FT,100,28,54,8,18,20,28,15,17,32,12,14,9,6,4,29,24,102,103,26,44,7,18,30,33,10,25,35,11,9,14,4,6,24,29,115,21,20,28,31,,,20,30,28,25,,,21,41,69,100,,,20,50,78,103,,
Ulker, CSKA Moscow,FT,64,16,39,6,25,14,23,16,20,36,9,4,12,2,1,22,20,49,82,21,38,8,24,16,19,10,27,37,18,7,11,1,2,20,21,97,15,19,17,13,,,20,27,16,19,,,15,34,51,64,,,20,47,63,82,,
Efes Pilsen, Panathinaikos Athens,FT,75,16,37,7,18,22,28,6,27,33,14,15,9,1,2,27,28,90,63,9,20,8,22,21,29,4,20,24,10,6,19,2,1,28,26,50,18,10,24,23,,,16,16,13,18,,,18,28,52,75,,,16,32,45,63,,
Tau Ceramica Vitoria Gasteiz, Benetton Basket,FT,66,19,37,7,17,7,9,5,27,32,10,7,13,3,2,17,13,69,64,16,35,8,25,8,11,10,21,31,5,11,10,2,3,13,17,65,17,15,14,20,,,19,11,13,21,,,17,32,46,66,,,19,30,43,64,,
